Well Name,Depth,GR,AC,DEN,CNL,Facies
JY2,2438.875,122.681,78.304,2.668,24.668,2
JY2,2439,125.154,78.39,2.669,24.96,2
JY2,2439.125,128.404,78.328,2.674,24.94,2
JY2,2439.25,131.401,78.419,2.68,24.75,1
JY2,2439.375,133.57,78.896,2.685,24.672,1
JY2,2439.5,134.373,79.242,2.685,24.667,1
JY2,2439.625,133.794,78.996,2.681,24.572,1
JY2,2439.75,132.864,78.665,2.677,24.457,1
JY2,2439.875,132.291,78.749,2.677,24.545,1
JY2,2440,131.881,79.117,2.679,24.73,1
JY2,2440.125,131.507,79.736,2.681,24.572,1
JY2,2440.25,131.852,80.416,2.676,23.957,2
JY2,2440.375,133.558,80.489,2.663,23.228,2
JY2,2440.5,136.206,79.886,2.648,22.688,2
JY2,2440.625,138.587,79.072,2.634,22.301,2
JY2,2440.75,139.67,78.026,2.625,21.848,1
JY2,2440.875,138.952,76.657,2.62,21.126,1
JY2,2441,136.236,75.706,2.617,20.247,1
JY2,2441.125,131.751,75.678,2.614,19.468,2
JY2,2441.25,125.79,75.976,2.613,18.789,2
JY2,2441.375,118.414,75.988,2.621,17.93,1
JY2,2441.5,109.328,75.274,2.645,16.737,1
JY2,2441.625,98.74,72.951,2.682,15.46,2
JY2,2441.75,88.44,68.952,2.724,14.379,1
JY2,2441.875,80.819,64.67,2.758,13.526,1
JY2,2442,77.252,61.692,2.77,12.961,1
JY2,2442.125,77.521,60.901,2.758,12.824,1
JY2,2442.25,80.965,62.289,2.736,13.215,1
JY2,2442.375,87.784,65.313,2.709,14.165,1
JY2,2442.5,97.792,68.978,2.681,15.574,2
JY2,2442.625,109.817,72.57,2.654,17.304,2
JY2,2442.75,121.611,75.961,2.633,19.155,1
JY2,2442.875,130.862,78.929,2.624,20.772,2
JY2,2443,136.493,81.035,2.623,21.784,2
JY2,2443.125,139.528,82.472,2.614,22.286,2
JY2,2443.25,142.043,83.632,2.589,22.895,1
JY2,2443.375,144.517,84.396,2.551,24.04,1
JY2,2443.5,145.959,84.794,2.521,25.294,1
JY2,2443.625,145.984,85.099,2.515,25.881,1
JY2,2443.75,145.664,85.233,2.535,25.816,1
JY2,2443.875,145.512,84.616,2.571,25.652,1
JY2,2444,144.236,82.768,2.611,25.422,1
JY2,2444.125,140.993,80.478,2.64,24.686,1
JY2,2444.25,137.448,78.94,2.652,23.566,1
JY2,2444.375,136.448,78.338,2.648,22.819,2
JY2,2444.5,138.548,78.577,2.639,22.844,1
JY2,2444.625,141.322,79.903,2.63,23.348,1
JY2,2444.75,141.602,81.855,2.623,23.727,1
JY2,2444.875,138.005,82.417,2.618,23.833,1
JY2,2445,131.027,80.29,2.619,23.965,2
JY2,2445.125,122.182,76.554,2.633,24.066,1
JY2,2445.25,114.144,72.434,2.658,23.639,1
JY2,2445.375,109.406,68.499,2.685,22.45,2
JY2,2445.5,108.61,66.231,2.699,21.001,1
JY2,2445.625,110.45,66.53,2.696,19.965,1
JY2,2445.75,113.53,68.478,2.686,19.654,2
JY2,2445.875,117.1,70.75,2.68,20.042,1
JY2,2446,120.119,72.476,2.681,20.825,1
JY2,2446.125,121.363,73.327,2.676,21.421,1
JY2,2446.25,120.7,73.51,2.663,21.36,2
JY2,2446.375,119.298,73.423,2.647,20.817,1
JY2,2446.5,118.57,73.251,2.636,20.423,1
JY2,2446.625,119.026,72.932,2.63,20.434,1
JY2,2446.75,120.559,72.443,2.628,20.585,1
JY2,2446.875,122.828,71.957,2.63,20.6,1
JY2,2447,125.02,71.582,2.634,20.481,1
JY2,2447.125,126.065,71.334,2.64,20.415,1
JY2,2447.25,125.525,71.255,2.643,20.552,1
JY2,2447.375,124.039,71.354,2.64,20.783,1
JY2,2447.5,122.534,71.569,2.634,20.818,1
JY2,2447.625,121.712,71.727,2.632,20.658,1
JY2,2447.75,121.847,71.662,2.637,20.661,1
JY2,2447.875,122.509,71.431,2.646,21.096,1
JY2,2448,123.025,71.213,2.654,21.748,2
JY2,2448.125,123.597,70.994,2.655,22.288,2
JY2,2448.25,124.88,70.641,2.651,22.791,1
JY2,2448.375,126.13,70.27,2.642,23.364,1
